"iso_ref","gene_ref","isoform_id","gene_id","condition_1","condition_2","gene_name","gene_biotype","iso_biotype","gene_overall_mean","gene_value_1","gene_value_2","gene_stderr_1","gene_stderr_2","gene_log2_fold_change","gene_q_value","iso_overall_mean","iso_value_1","iso_value_2","iso_stderr_1","iso_stderr_2","iso_log2_fold_change","iso_q_value","IF_overall","IF1","IF2","dIF","isoform_switch_q_value","gene_switch_q_value"
"isoComp_00008448","geneComp_00001962","ENSMUST00000020248.16","ENSMUSG00000020056.17","F","M","Washc3","protein-coding",NA,34.200768584067,34.2520637722609,34.1494733958731,2.36076455605542,2.64139403110633,-0.00432632017045572,NA,31.1688205451354,34.0212769598065,28.3163641304643,2.58873476577235,1.56460039715173,-0.264715852254993,NA,0.91267,0.99074,0.8346,-0.15614,0.0449633573965443,0.0449633573965443
"isoComp_00010467","geneComp_00002473","ENSMUST00000021347.12","ENSMUSG00000020964.15","F","M","Sel1l","protein-coding",NA,73.3334269889479,74.3170523059434,72.3498016719524,16.6621141206013,10.5065919818614,-0.0386989403931039,NA,36.3304297445152,65.9096355323028,6.75122395672753,13.7727997833839,1.41669821356,-3.28535192547923,NA,0.49983,0.9004,0.09926,-0.80114,0.0017193449317795,0.0017193449317795
"isoComp_00010475","geneComp_00002473","ENSMUST00000178462.8","ENSMUSG00000020964.15","F","M","Sel1l","protein-coding",NA,73.3334269889479,74.3170523059434,72.3498016719524,16.6621141206013,10.5065919818614,-0.0386989403931039,NA,36.9123756503439,8.22617372762692,65.5985775730609,3.48055927076706,10.6315851150479,2.99383827656946,NA,0.49835,0.09596,0.90074,0.80478,0.0017193449317795,0.0017193449317795
"isoComp_00012252","geneComp_00002873","ENSMUST00000065504.17","ENSMUSG00000021814.18","F","M","Anxa7","protein-coding",NA,55.7052201786228,55.8637129041177,55.5467274531279,12.7646909072617,8.21413301055553,-0.00820807259284179,NA,26.7890343281286,48.7978204901875,4.78024816606975,11.5975740272305,1.00448954771055,-3.34894002570939,NA,0.48006,0.87052,0.0896,-0.78092,0.000473625420351007,0.000473625420351007
"isoComp_00012253","geneComp_00002873","ENSMUST00000100844.6","ENSMUSG00000021814.18","F","M","Anxa7","protein-coding",NA,55.7052201786228,55.8637129041177,55.5467274531279,12.7646909072617,8.21413301055553,-0.00820807259284179,NA,27.1167674036146,5.9293865767297,48.3041482304995,2.03136206792293,9.10296937083969,3.02405988576226,NA,0.47762,0.0982,0.85704,0.75884,0.0184725540782663,0.000473625420351007
"isoComp_00021024","geneComp_00004823","ENSMUST00000077642.12","ENSMUSG00000026585.14","F","M","Kifap3","protein-coding",NA,78.8376565201269,61.529737625717,96.1455754145369,1.86435782756772,2.21874649599864,0.643852219400878,NA,67.4121729307426,44.0312646175255,90.7930812439598,2.4921984416585,2.56020734048607,1.04388535809515,NA,0.82957,0.71368,0.94546,0.23178,0.0103951846842404,0.0103951846842404
"isoComp_00031671","geneComp_00007310","ENSMUST00000034281.13","ENSMUSG00000031824.16","F","M","6430548M08Rik","protein-coding",NA,87.4058835843009,82.2383535694452,92.5734135991566,14.2382632356255,15.7785568252312,0.170766956969879,NA,44.8884467050519,4.80263851273379,84.9742548973699,2.93473729150657,15.556687060559,4.14229560804742,NA,0.47938,0.04714,0.91162,0.86448,0.000995041025734994,0.000341000562710637
"isoComp_00031674","geneComp_00007310","ENSMUST00000108951.8","ENSMUSG00000031824.16","F","M","6430548M08Rik","protein-coding",NA,87.4058835843009,82.2383535694452,92.5734135991566,14.2382632356255,15.7785568252312,0.170766956969879,NA,41.0652478952253,75.154849299866,6.97564649058456,11.0852466772803,0.777483009976962,-3.42759260404134,NA,0.50651,0.93008,0.08294,-0.84714,0.000341000562710637,0.000341000562710637
"isoComp_00031948","geneComp_00007383","ENSMUST00000166232.4","ENSMUSG00000031955.11","F","M","Bcar1","protein-coding",NA,42.2800900949308,47.2901457557197,37.2700344341418,14.653805942718,3.70982158231874,-0.343441436691035,NA,24.5177522653353,45.0048734977373,4.03063103293323,15.1839064245742,0.511974857515875,-3.47774924127686,NA,0.52432,0.93156,0.11708,-0.81448,0.025976163941105,0.025976163941105
"isoComp_00031949","geneComp_00007383","ENSMUST00000212349.2","ENSMUSG00000031955.11","F","M","Bcar1","protein-coding",NA,42.2800900949308,47.2901457557197,37.2700344341418,14.653805942718,3.70982158231874,-0.343441436691035,NA,17.7623378295955,2.28527225798242,33.2394034012086,0.692872780568826,4.13390916503846,3.85659125750903,NA,0.47568,0.06844,0.88292,0.81448,0.0270094051443334,0.025976163941105
"isoComp_00036451","geneComp_00008505","ENSMUST00000030254.15","ENSMUSG00000035212.15","F","M","Leprot","protein-coding",NA,9.81144201150339,11.8073626582624,7.81552136474439,1.78447218240881,0.420665933336455,-0.594649319789901,NA,7.01398966437942,11.8073626582624,2.22061667049646,1.78447218240881,0.343768284382989,-2.40539358362229,NA,0.63969,1,0.27938,-0.72062,0.0184725540782663,0.0184725540782663
"isoComp_00036452","geneComp_00008505","ENSMUST00000106927.2","ENSMUSG00000035212.15","F","M","Leprot","protein-coding",NA,9.81144201150339,11.8073626582624,7.81552136474439,1.78447218240881,0.420665933336455,-0.594649319789901,NA,2.79745234712396,0,5.59490469424793,0,0.180563918294755,9.1305460314397,NA,0.36031,0,0.72062,0.72062,0.0184725540782663,0.0184725540782663
"isoComp_00037212","geneComp_00008702","ENSMUST00000113078.8","ENSMUSG00000035949.16","F","M","Fbxw2","protein-coding",NA,34.0763067259928,35.5015333117094,32.6510801402761,5.09238465371392,1.15302029185076,-0.120715150868076,NA,11.5424258365474,2.06666999473715,21.0181816783577,0.607360462671706,2.13800770702125,3.33998022490424,NA,0.35634,0.0665,0.64618,0.57968,0.0427914292873678,0.0427914292873678
"isoComp_00043208","geneComp_00010171","ENSMUST00000046371.13","ENSMUSG00000040563.14","F","M","Plppr2","protein-coding",NA,64.7678233512864,58.1287323249164,71.4069143776564,6.04374266192511,14.2968820144931,0.296766187685451,NA,46.6782651733054,57.6963310179901,35.6601993286207,5.88056007700066,8.68025866285759,-0.694010329286624,NA,0.71983,0.99356,0.4461,-0.54746,0.00073010779985664,0.00073010779985664
"isoComp_00043209","geneComp_00010171","ENSMUST00000190387.7","ENSMUSG00000040563.14","F","M","Plppr2","protein-coding",NA,64.7678233512864,58.1287323249164,71.4069143776564,6.04374266192511,14.2968820144931,0.296766187685451,NA,18.089558177981,0.432401306926293,35.7467150490357,0.19862758280566,7.04065071171923,6.33671474519707,NA,0.28017,0.00644,0.5539,0.54746,0.00607823374313238,0.00073010779985664
"isoComp_00043941","geneComp_00010348","ENSMUST00000012612.11","ENSMUSG00000041164.16","F","M","Zmiz2","protein-coding",NA,95.4320126706827,90.4675863708415,100.396438970524,8.29425244672579,6.05194998199881,0.150219442093414,NA,24.4064139899991,44.0595747202109,4.75325325978728,2.84405970662359,0.417567924126917,-3.20976381117485,NA,0.27058,0.4927,0.04846,-0.44424,0.00812171788445704,0.00812171788445704
"isoComp_00043945","geneComp_00010348","ENSMUST00000109787.8","ENSMUSG00000041164.16","F","M","Zmiz2","protein-coding",NA,95.4320126706827,90.4675863708415,100.396438970524,8.29425244672579,6.05194998199881,0.150219442093414,NA,27.8573868757721,2.10952052600118,53.6052532255431,1.23459018283128,8.00337896402459,4.66083365435146,NA,0.27195,0.02012,0.52378,0.50366,0.0428463244708768,0.00812171788445704
"isoComp_00043995","geneComp_00010362","ENSMUST00000182066.8","ENSMUSG00000041225.17","F","M","Arhgap12","protein-coding",NA,11.2906850911504,9.60080225476677,12.9805679275341,0.639823627862036,0.896873967707456,0.434735735496657,NA,6.99030117770945,1.77741679909271,12.2031855563262,0.171073377914443,0.785137749849253,2.77249155269706,NA,0.564,0.18524,0.94276,0.75752,0.0355175717346014,0.0355175717346014
"isoComp_00050310","geneComp_00012340","ENSMUST00000086693.12","ENSMUSG00000052105.18","F","M","Mtcl1","protein-coding",NA,38.6782469011779,37.9896952121064,39.3667985902494,6.00076151483779,7.42249923051283,0.0513579750784778,NA,18.8950052157379,4.49748709394231,33.2925233375335,1.46469560504634,6.14861894693825,2.88523622869157,NA,0.47817,0.10938,0.84696,0.73758,0.013967131875976,0.00970121257872164
"isoComp_00050311","geneComp_00012340","ENSMUST00000097291.10","ENSMUSG00000052105.18","F","M","Mtcl1","protein-coding",NA,38.6782469011779,37.9896952121064,39.3667985902494,6.00076151483779,7.42249923051283,0.0513579750784778,NA,18.2489932395266,32.3829581324783,4.11502834657497,4.64052514407103,0.430053871648719,-2.97320428290738,NA,0.48982,0.86266,0.11698,-0.74568,0.00970121257872164,0.00970121257872164
"isoComp_00052150","geneComp_00012754","ENSMUST00000047321.9","ENSMUSG00000055116.9","F","M","Bmal1","protein-coding",NA,22.6059441742585,19.9490972624919,25.2627910860252,3.23942918786279,2.58832785737829,0.340538532025106,NA,11.1169966927589,16.632609941569,5.6013834439487,1.73636918080394,0.406325814574677,-1.56845329347391,NA,0.54733,0.86902,0.22564,-0.64338,0.0427914292873678,0.0427914292873678
"isoComp_00055637","geneComp_00013635","ENSMUST00000120005.10","ENSMUSG00000062044.17","F","M","Lmtk3","protein-coding",NA,24.7188497908197,15.3001464686643,34.1375531129752,2.07852670745419,1.88935830453124,1.15729411920572,NA,15.8645087791368,2.88827477321061,28.8407427850629,0.0057329906773394,2.09818731320672,3.31534218034222,NA,0.52319,0.20486,0.84152,0.63666,0.0427914292873678,0.0427914292873678
