iso_ref,gene_ref,isoform_id,gene_id,condition_1,condition_2,gene_name,gene_biotype,iso_biotype,gene_overall_mean,gene_value_1,gene_value_2,gene_stderr_1,gene_stderr_2,gene_log2_fold_change,gene_q_value,iso_overall_mean,iso_value_1,iso_value_2,iso_stderr_1,iso_stderr_2,iso_log2_fold_change,iso_q_value,IF_overall,IF1,IF2,dIF,isoform_switch_q_value,gene_switch_q_value
isoComp_00000232,geneComp_00000051,ENSMUST00000153040.2,ENSMUSG00000000308.15,cerebellum,cortex,Ckmt1,protein-coding,NA,176.407603745584,147.071041676914,211.150710872148,5.2747584521197,5.51452331544024,0.52173012862286,NA,43.0812040148879,20.9912225524314,60.9589043255907,1.15035499794422,8.17352958471784,1.53760030499197,NA,0.2422,0.14574,0.28334,0.1376,0.049905959599496,0.049905959599496
isoComp_00001035,geneComp_00000211,ENSMUST00000128556.8,ENSMUSG00000001323.18,cerebellum,cortex,Srr,protein-coding,NA,17.8363445679067,10.5686644873998,21.2342428383226,1.595037685855,1.84449363879141,1.00591442110001,NA,0.726288365063553,1.78370126289605,0.0487373857329453,0.587002686336402,0.0240779722616646,-4.93251676624288,NA,0.0628675,0.18621,0.0022,-0.18401,0.00918982976650292,0.00918982976650292
isoComp_00001327,geneComp_00000273,ENSMUST00000131916.2,ENSMUSG00000001741.13,cerebellum,cortex,Il16,protein-coding,NA,14.2864389856815,49.5454094868819,0.528010694628984,3.31044873808973,0.194027523236908,-6.52526388980905,NA,0.116495710387099,0.310625073705604,0.0550788150019241,0.1886496282223,0.0073381580476186,-2.30062736555045,NA,0.1406425,0.00624,0.28465,0.27841,0.00109363612845529,0.000374068417877217
isoComp_00001330,geneComp_00000273,ENSMUST00000153560.2,ENSMUSG00000001741.13,cerebellum,cortex,Il16,protein-coding,NA,14.2864389856815,49.5454094868819,0.528010694628984,3.31044873808973,0.194027523236908,-6.52526388980905,NA,0.0765953410273921,0.166138166564887,0.045439806452142,0.0629154877675473,0.011698494645379,-1.66771342800765,NA,0.1033975,0.00337,0.24389,0.24052,0.000374068417877217,0.000374068417877217
isoComp_00001726,geneComp_00000344,ENSMUST00000002176.13,ENSMUSG00000002107.19,cerebellum,cortex,Celf2,protein-coding,NA,95.5807376595045,39.5132500913323,106.596449218516,3.75963166475207,7.06314047690582,1.43152122422892,NA,36.3368610464415,4.79007807703042,47.1066755044759,1.02578240707841,5.22595417467617,3.29510797024338,NA,0.33307,0.11869,0.43225,0.31356,0.0102078452713081,0.0102078452713081
isoComp_00002240,geneComp_00000440,ENSMUST00000131475.2,ENSMUSG00000002797.10,cerebellum,cortex,Ggct,protein-coding,NA,42.2604612859624,38.7956282988012,44.56226840055,1.08345529386171,3.8699128963553,0.199880471890772,NA,34.6137536506115,28.2741622172166,38.1230908097378,1.0988837708446,3.23267737517783,0.431049032192929,NA,0.81725,0.72854,0.86043,0.13189,0.00518559776175964,0.00419421133137438
isoComp_00002243,geneComp_00000440,ENSMUST00000204301.3,ENSMUSG00000002797.10,cerebellum,cortex,Ggct,protein-coding,NA,42.2604612859624,38.7956282988012,44.56226840055,1.08345529386171,3.8699128963553,0.199880471890772,NA,7.24430830018854,10.399338651008,5.88148996313671,0.851551044403887,1.02828878522538,-0.821173966882805,NA,0.1742175,0.26824,0.12875,-0.13949,0.00419421133137438,0.00419421133137438
isoComp_00002942,geneComp_00000569,ENSMUST00000143528.8,ENSMUSG00000003573.16,cerebellum,cortex,Homer3,protein-coding,NA,34.106293221066,111.6057241803,3.09693407886869,5.09333956790901,0.891354037260303,-5.16690484348184,NA,0.238052050824612,0.520657177802891,0.151516336941841,0.233789832694799,0.0526266659361501,-1.71610003593966,NA,0.0599525,0.00434,0.12083,0.11649,5.88014235497001e-05,2.03195056949443e-05
isoComp_00002976,geneComp_00000576,ENSMUST00000157067.9,ENSMUSG00000003644.18,cerebellum,cortex,Rps6ka1,protein-coding,NA,8.58239576450229,23.2368540887063,2.91769011914671,1.75891172293091,0.686483086993893,-2.98920072980525,NA,0.165467527523761,0.0477969415291419,0.180510246904582,0.00756207962796543,0.11806240536433,1.7208035414995,NA,0.0670675,0.00207,0.12213,0.12006,0.00386182985213044,0.000611779123906436
isoComp_00003120,geneComp_00000600,ENSMUST00000003964.17,ENSMUSG00000003865.17,cerebellum,cortex,Gys1,protein-coding,NA,28.9981724066302,12.477444662568,38.2598205478361,1.47990262144886,8.46334211201057,1.61572885123043,NA,6.02870475926711,7.34605238113031,7.14757284461347,1.31041246437999,1.63570095914247,-0.0394613049503695,NA,0.2850725,0.58186,0.24847,-0.33339,0.0462510051662379,0.0462510051662379
