location,start,stop,strand,gene_id,transcript_id
chr1,24652268,24653052,+,gene.21,tx.1
chr1,24654716,24655074,+,gene.20,tx.2
chr1,36457878,36458289,+,gene.40,tx.387
chr1,65033031,65033794,+,gene.102,tx.3
chr1,70201299,70230984,-,gene.609,tx.317
chr1,84857279,84869883,+,gene.158,tx.290
chr1,84917081,84952082,-,gene.646,tx.354
chr1,85885221,85901092,+,gene.169,tx.327
chr1,87173488,87174464,-,gene.665,tx.367
chr1,92943180,92944671,+,gene.188,tx.378
chr1,93016769,93017685,-,gene.689,tx.279
chr1,93017010,93017685,-,gene.689,tx.199
chr1,93017167,93017685,+,gene.191,tx.135
chr1,104697211,104699486,+,ENSMUSG00000050840.9,tx.328
chr1,118980205,118981120,-,ENSMUSG00000048402.15,tx.4
chr1,131453881,131466773,+,ENSMUSG00000055184.5,tx.5
chr1,135679623,135680384,-,gene.791,tx.136
chr1,135768412,135771552,-,gene.793,tx.299
chr1,150950189,150963812,-,gene.813,tx.137
chr1,150950211,150963812,-,gene.813,tx.336
chr1,157265232,157268099,-,gene.851,tx.6
chr1,169290573,169298357,+,gene.362,tx.247
chr1,169290573,169298372,+,gene.362,tx.318
chr1,171128264,171279499,+,gene.382,tx.225
chr1,191380333,191381232,-,gene.975,tx.138
chr10,23647698,23652971,-,gene.9796,tx.238
chr10,23661092,23663098,-,ENSMUSG00000061983.8,tx.81
chr10,34062391,34067281,+,gene.9469,tx.374
chr10,59729704,59733541,-,gene.9882,tx.345
chr10,67766427,67769581,-,gene.9932,tx.364
chr10,75791492,75843967,-,gene.9961,tx.239
chr10,78615335,78623694,-,gene.9987,tx.167
chr10,80240009,80242634,+,gene.9606,tx.257
chr10,80662520,80665118,+,ENSMUSG00000035242.16,tx.82
chr10,83387832,83406694,+,gene.9631,tx.168
chr10,86526704,86527598,+,ENSMUSG00000121489.1,tx.83
chr10,88526038,88555174,+,gene.9650,tx.169
chr10,88662717,88666784,+,gene.9654,tx.84
chr10,110910007,110919360,-,gene.10142,tx.85
chr10,119962107,119990603,-,gene.10181,tx.371
chr10,121193889,121200895,-,gene.10185,tx.352
chr10,127503651,127504561,+,ENSMUSG00000040195.12,tx.258
chr10,128329851,128338838,+,ENSMUSG00000119994.1,tx.240
chr10,130363810,130378081,-,gene.10248,tx.86
chr10,130376711,130378101,-,gene.10248,tx.270
chr11,3464885,3467351,-,ENSMUSG00000020439.18,tx.391
chr11,4651973,4654336,+,gene.10270,tx.259
chr11,17150172,17206013,-,gene.11041,tx.260
chr11,19973613,19979850,-,gene.11049,tx.87
chr11,31238448,31296056,-,gene.11087,tx.216
chr11,34979867,35012527,-,gene.11112,tx.170
chr11,35610151,35610611,-,gene.11118,tx.171
chr11,43566566,43573502,-,gene.11133,tx.217
chr11,45351007,45359135,+,gene.10387,tx.330
chr11,53373906,53378202,-,gene.11177,tx.88
chr11,54757245,54761324,-,gene.11193,tx.287
chr11,55285326,55310724,+,gene.10438,tx.89
chr11,60022347,60030982,-,gene.11229,tx.90
chr11,60022347,60030980,-,gene.11229,tx.241
chr11,60117541,60118583,+,gene.10469,tx.172
chr11,71708904,71712508,-,gene.11289,tx.261
chr11,72906682,72909663,-,ENSMUSG00000086943.3,tx.91
chr11,77399093,77400332,+,gene.10603,tx.271
chr11,83211167,83212543,+,gene.10652,tx.384
chr11,87233552,87265372,+,ENSMUSG00000010342.17,tx.92
chr11,87505736,87507124,-,gene.11432,tx.340
chr11,88800943,88801495,+,gene.10683,tx.93
chr11,99170789,99172168,-,ENSMUSG00000020913.4,tx.94
chr11,100466632,100472554,-,gene.11531,tx.347
chr11,101168794,101169777,+,gene.10801,tx.173
chr11,101458172,101479630,+,gene.10805,tx.353
chr11,103242956,103296638,+,gene.10834,tx.262
chr11,116123518,116124903,+,gene.10936,tx.375
chr11,120601768,120604568,-,ENSMUSG00000025144.18,tx.95
chr12,33445063,33451268,+,ENSMUSG00000020562.8,tx.174
chr12,51022210,51027446,+,gene.11855,tx.293
chr12,72117943,72118793,+,gene.11912,tx.175
chr12,75677524,75678149,+,gene.11924,tx.97
chr12,76499333,76534819,+,gene.11932,tx.98
chr12,102709966,102711662,+,ENSMUSG00000046675.8,tx.99
chr12,111927809,111929789,+,gene.12074,tx.100
chr13,9082776,9104717,-,gene.12736,tx.288
chr13,9082776,9104716,-,gene.12736,tx.341
chr13,21685094,21685615,+,gene.12472,tx.101
chr13,45400108,45421210,-,ENSMUSG00000113919.2,tx.294
chr13,53457798,53485482,-,gene.12835,tx.242
chr13,53992736,54004155,-,gene.12842,tx.331
chr13,54529655,54531730,-,gene.12848,tx.350
chr13,64387571,64441574,+,gene.12594,tx.176
chr13,64387571,64441574,+,gene.12594,tx.218
chr13,84173418,84195998,-,ENSMUSG00000098087.3,tx.102
